observation_date,OPHNFB
1947-01-01,22.265
1947-04-01,22.771
1947-07-01,22.074
1947-10-01,23.002
1948-01-01,23.106
1948-04-01,23.045
1948-07-01,23.070
1948-10-01,23.171
1949-01-01,23.407
1949-04-01,23.648
1949-07-01,24.214
1949-10-01,24.083
1950-01-01,24.909
1950-04-01,25.215
1950-07-01,25.763
1950-10-01,25.809
1951-01-01,25.837
1951-04-01,25.758
1951-07-01,26.329
1951-10-01,26.408
1952-01-01,26.543
1952-04-01,26.490
1952-07-01,26.360
1952-10-01,26.919
1953-01-01,27.153
1953-04-01,27.218
1953-07-01,27.333
1953-10-01,27.237
1954-01-01,27.294
1954-04-01,27.484
1954-07-01,27.979
1954-10-01,28.294
1955-01-01,28.852
1955-04-01,28.951
1955-07-01,29.057
1955-10-01,28.952
1956-01-01,28.603
1956-04-01,28.744
1956-07-01,28.740
1956-10-01,29.048
1957-01-01,29.381
1957-04-01,29.264
1957-07-01,29.676
1957-10-01,29.774
1958-01-01,29.364
1958-04-01,29.926
1958-07-01,30.488
1958-10-01,31.008
1959-01-01,31.046
1959-04-01,31.347
1959-07-01,31.391
1959-10-01,31.289
1960-01-01,32.019
1960-04-01,31.521
1960-07-01,31.708
1960-10-01,31.289
1961-01-01,31.693
1961-04-01,32.526
1961-07-01,33.080
1961-10-01,33.364
1962-01-01,33.909
1962-04-01,33.774
1962-07-01,34.336
1962-10-01,34.588
1963-01-01,34.692
1963-04-01,34.955
1963-07-01,35.812
1963-10-01,35.789
1964-01-01,36.013
1964-04-01,36.210
1964-07-01,36.583
1964-10-01,36.230
1965-01-01,36.750
1965-04-01,36.919
1965-07-01,37.670
1965-10-01,38.323
1966-01-01,38.845
1966-04-01,38.576
1966-07-01,38.703
1966-10-01,38.943
1967-01-01,39.251
1967-04-01,39.395
1967-07-01,39.596
1967-10-01,39.710
1968-01-01,40.596
1968-04-01,40.977
1968-07-01,40.993
1968-10-01,40.895
1969-01-01,41.220
1969-04-01,40.882
1969-07-01,40.924
1969-10-01,40.719
1970-01-01,40.845
1970-04-01,41.442
1970-07-01,42.092
1970-10-01,41.706
1971-01-01,42.942
1971-04-01,43.063
1971-07-01,43.471
1971-10-01,43.093
1972-01-01,43.768
1972-04-01,44.630
1972-07-01,44.886
1972-10-01,45.265
1973-01-01,46.289
1973-04-01,46.306
1973-07-01,45.873
1973-10-01,45.587
1974-01-01,45.477
1974-04-01,45.341
1974-07-01,44.876
