observation_date,COMPRNFB
1947-01-01,34.402
1947-04-01,34.686
1947-07-01,34.952
1947-10-01,34.796
1948-01-01,34.878
1948-04-01,34.792
1948-07-01,34.921
1948-10-01,35.586
1949-01-01,36.140
1949-04-01,36.250
1949-07-01,36.645
1949-10-01,36.623
1950-01-01,37.683
1950-04-01,38.212
1950-07-01,38.271
1950-10-01,38.454
1951-01-01,37.839
1951-04-01,38.307
1951-07-01,38.753
1951-10-01,38.916
1952-01-01,39.179
1952-04-01,39.369
1952-07-01,39.589
1952-10-01,40.540
1953-01-01,41.127
1953-04-01,41.456
1953-07-01,41.701
1953-10-01,42.033
1954-01-01,42.286
1954-04-01,42.402
1954-07-01,42.850
1954-10-01,43.406
1955-01-01,43.648
1955-04-01,44.072
1955-07-01,44.821
1955-10-01,45.091
1956-01-01,45.787
1956-04-01,46.364
1956-07-01,46.595
1956-10-01,46.981
1957-01-01,47.261
1957-04-01,47.332
1957-07-01,47.535
1957-10-01,47.940
1958-01-01,47.380
1958-04-01,47.487
1958-07-01,48.616
1958-10-01,48.764
1959-01-01,49.158
1959-04-01,49.492
1959-07-01,49.523
1959-10-01,49.693
1960-01-01,50.712
1960-04-01,50.735
1960-07-01,51.004
1960-10-01,50.889
1961-01-01,51.236
1961-04-01,51.973
1961-07-01,52.159
1961-10-01,52.467
1962-01-01,53.096
1962-04-01,53.255
1962-07-01,53.478
1962-10-01,53.830
1963-01-01,54.193
1963-04-01,54.367
1963-07-01,54.590
1963-10-01,55.062
1964-01-01,54.663
1964-04-01,55.183
1964-07-01,55.785
1964-10-01,55.937
1965-01-01,55.997
1965-04-01,56.013
1965-07-01,56.439
1965-10-01,56.975
1966-01-01,57.432
1966-04-01,57.826
1966-07-01,58.152
1966-10-01,58.454
1967-01-01,59.090
1967-04-01,59.680
1967-07-01,59.886
1967-10-01,60.045
1968-01-01,61.056
1968-04-01,61.451
1968-07-01,61.618
1968-10-01,62.073
1969-01-01,62.161
1969-04-01,62.184
1969-07-01,62.432
1969-10-01,62.670
1970-01-01,62.793
1970-04-01,62.902
1970-07-01,63.265
1970-10-01,62.967
1971-01-01,63.732
1971-04-01,64.077
1971-07-01,64.318
1971-10-01,64.286
1972-01-01,65.542
1972-04-01,65.886
1972-07-01,66.230
1972-10-01,66.788
1973-01-01,67.488
1973-04-01,67.029
1973-07-01,66.869
1973-10-01,66.536
1974-01-01,66.079
1974-04-01,66.028
1974-07-01,66.120
1974-10-01,65.907
1975-01-01,66.450
